### Printing all connections in the network
### From file: .\TopologyFiles\large_topo_file
### Data was parsed at: 2023-11-17 11:05:33.871588

Switch:
sysimgguid=0x2c900000085bf
Connected to: S-0002c900000089ac, Ports:=[53]=>[29]
Connected to: S-0002c900000089ac, Ports:=[54]=>[30]
Connected to: S-0002c900000089ac, Ports:=[55]=>[31]
Connected to: S-0002c900000089ac, Ports:=[56]=>[32]
Connected to: S-0002c900000089b0, Ports:=[57]=>[25]
Connected to: S-0002c900000089b0, Ports:=[58]=>[26]
Connected to: S-0002c900000089b0, Ports:=[59]=>[27]
Connected to: S-0002c900000089b0, Ports:=[60]=>[28]
Connected to: S-0002c900000089b0, Ports:=[61]=>[29]
Connected to: S-0002c900000089b0, Ports:=[62]=>[30]
Connected to: S-0002c900000089b0, Ports:=[63]=>[31]
Connected to: S-0002c900000089b0, Ports:=[64]=>[32]


Switch:
sysimgguid=0x2c900000085ab
Connected to: H-0002c90000007c99, Ports:=[1]=>[1]
Connected to: H-0002c90000007cb9, Ports:=[2]=>[1]
Connected to: H-0002c90000007cd9, Ports:=[3]=>[1]
Connected to: H-0002c90000007cf9, Ports:=[4]=>[1]
Connected to: H-0002c90000007d19, Ports:=[5]=>[1]
Connected to: H-0002c90000007d39, Ports:=[6]=>[1]
Connected to: H-0002c90000007d59, Ports:=[7]=>[1]
Connected to: H-0002c90000007d79, Ports:=[8]=>[1]
Connected to: H-0002c90000007d99, Ports:=[9]=>[1]
Connected to: H-0002c90000007dd9, Ports:=[10]=>[1]
Connected to: H-0002c90000007df9, Ports:=[11]=>[1]
Connected to: H-0002c90000007e19, Ports:=[12]=>[1]
Connected to: H-0002c90000007e39, Ports:=[13]=>[1]
Connected to: H-0002c90000007e59, Ports:=[14]=>[1]
Connected to: H-0002c90000007e79, Ports:=[15]=>[1]
Connected to: H-0002c90000007e99, Ports:=[16]=>[1]
Connected to: H-0002c90000007eb9, Ports:=[17]=>[1]
Connected to: H-0002c90000007ed9, Ports:=[18]=>[1]
Connected to: H-0002c90000007ef9, Ports:=[19]=>[1]
Connected to: H-0002c90000007f39, Ports:=[20]=>[1]
Connected to: H-0002c90000007f59, Ports:=[21]=>[1]
Connected to: H-0002c90000007f79, Ports:=[22]=>[1]
Connected to: H-0002c90000007f99, Ports:=[23]=>[1]
Connected to: H-0002c90000007fb9, Ports:=[24]=>[1]
Connected to: H-0002c90000007fd9, Ports:=[25]=>[1]
Connected to: H-0002c90000007ff9, Ports:=[26]=>[1]
Connected to: H-0002c90000008019, Ports:=[27]=>[1]
Connected to: H-0002c90000008039, Ports:=[28]=>[1]
Connected to: H-0002c90000008059, Ports:=[29]=>[1]
Connected to: H-0002c90000008099, Ports:=[30]=>[1]
Connected to: H-0002c900000080b9, Ports:=[31]=>[1]
Connected to: H-0002c900000080d9, Ports:=[32]=>[1]
Connected to: S-0002c900000089a4, Ports:=[33]=>[17]
Connected to: S-0002c900000089a4, Ports:=[34]=>[18]
Connected to: S-0002c900000089a4, Ports:=[35]=>[19]
Connected to: S-0002c900000089a4, Ports:=[36]=>[20]
Connected to: S-0002c900000089a4, Ports:=[37]=>[21]
Connected to: S-0002c900000089a4, Ports:=[38]=>[22]
Connected to: S-0002c900000089a4, Ports:=[39]=>[23]
Connected to: S-0002c900000089a4, Ports:=[40]=>[24]
Connected to: S-0002c900000089a8, Ports:=[41]=>[17]
Connected to: S-0002c900000089a8, Ports:=[42]=>[18]
Connected to: S-0002c900000089a8, Ports:=[43]=>[19]
Connected to: S-0002c900000089a8, Ports:=[44]=>[20]
Connected to: S-0002c900000089a8, Ports:=[45]=>[21]
Connected to: S-0002c900000089a8, Ports:=[46]=>[22]
Connected to: S-0002c900000089a8, Ports:=[47]=>[23]
Connected to: S-0002c900000089a8, Ports:=[48]=>[24]
Connected to: S-0002c900000089ac, Ports:=[49]=>[17]
Connected to: S-0002c900000089ac, Ports:=[50]=>[18]
Connected to: S-0002c900000089ac, Ports:=[51]=>[19]
Connected to: S-0002c900000089ac, Ports:=[52]=>[20]
Connected to: S-0002c900000089ac, Ports:=[53]=>[21]
Connected to: S-0002c900000089ac, Ports:=[54]=>[22]
Connected to: S-0002c900000089ac, Ports:=[55]=>[23]
Connected to: S-0002c900000089ac, Ports:=[56]=>[24]
Connected to: S-0002c900000089b0, Ports:=[57]=>[17]
Connected to: S-0002c900000089b0, Ports:=[58]=>[18]
Connected to: S-0002c900000089b0, Ports:=[59]=>[19]
Connected to: S-0002c900000089b0, Ports:=[60]=>[20]
Connected to: S-0002c900000089b0, Ports:=[61]=>[21]
Connected to: S-0002c900000089b0, Ports:=[62]=>[22]
Connected to: S-0002c900000089b0, Ports:=[63]=>[23]
Connected to: S-0002c900000089b0, Ports:=[64]=>[24]


Switch:
sysimgguid=0x2c900000085a7
Connected to: H-0002c90000007819, Ports:=[1]=>[1]
Connected to: H-0002c90000007859, Ports:=[2]=>[1]
Connected to: H-0002c90000007879, Ports:=[3]=>[1]
Connected to: H-0002c90000007899, Ports:=[4]=>[1]
Connected to: H-0002c900000078b9, Ports:=[5]=>[1]
Connected to: H-0002c900000078d9, Ports:=[6]=>[1]
Connected to: H-0002c900000078f9, Ports:=[7]=>[1]
Connected to: H-0002c90000007919, Ports:=[8]=>[1]
Connected to: H-0002c90000007939, Ports:=[9]=>[1]
Connected to: H-0002c90000007959, Ports:=[10]=>[1]
Connected to: H-0002c90000007979, Ports:=[11]=>[1]
Connected to: H-0002c900000079b9, Ports:=[12]=>[1]
Connected to: H-0002c900000079d9, Ports:=[13]=>[1]
Connected to: H-0002c900000079f9, Ports:=[14]=>[1]
Connected to: H-0002c90000007a19, Ports:=[15]=>[1]
Connected to: H-0002c90000007a39, Ports:=[16]=>[1]
Connected to: H-0002c90000007a59, Ports:=[17]=>[1]
Connected to: H-0002c90000007a79, Ports:=[18]=>[1]
Connected to: H-0002c90000007a99, Ports:=[19]=>[1]
Connected to: H-0002c90000007ab9, Ports:=[20]=>[1]
Connected to: H-0002c90000007ad9, Ports:=[21]=>[1]
Connected to: H-0002c90000007b19, Ports:=[22]=>[1]
Connected to: H-0002c90000007b39, Ports:=[23]=>[1]
Connected to: H-0002c90000007b59, Ports:=[24]=>[1]
Connected to: H-0002c90000007b79, Ports:=[25]=>[1]
Connected to: H-0002c90000007b99, Ports:=[26]=>[1]
Connected to: H-0002c90000007bb9, Ports:=[27]=>[1]
Connected to: H-0002c90000007bd9, Ports:=[28]=>[1]
Connected to: H-0002c90000007bf9, Ports:=[29]=>[1]
Connected to: H-0002c90000007c19, Ports:=[30]=>[1]
Connected to: H-0002c90000007c39, Ports:=[31]=>[1]
Connected to: H-0002c90000007c79, Ports:=[32]=>[1]
Connected to: S-0002c900000089a4, Ports:=[33]=>[9]
Connected to: S-0002c900000089a4, Ports:=[34]=>[10]
Connected to: S-0002c900000089a4, Ports:=[35]=>[11]
Connected to: S-0002c900000089a4, Ports:=[36]=>[12]
Connected to: S-0002c900000089a4, Ports:=[37]=>[13]
Connected to: S-0002c900000089a4, Ports:=[38]=>[14]
Connected to: S-0002c900000089a4, Ports:=[39]=>[15]
Connected to: S-0002c900000089a4, Ports:=[40]=>[16]
Connected to: S-0002c900000089a8, Ports:=[41]=>[9]
Connected to: S-0002c900000089a8, Ports:=[42]=>[10]
Connected to: S-0002c900000089a8, Ports:=[43]=>[11]
Connected to: S-0002c900000089a8, Ports:=[44]=>[12]
Connected to: S-0002c900000089a8, Ports:=[45]=>[13]
Connected to: S-0002c900000089a8, Ports:=[46]=>[14]
Connected to: S-0002c900000089a8, Ports:=[47]=>[15]
Connected to: S-0002c900000089a8, Ports:=[48]=>[16]
Connected to: S-0002c900000089ac, Ports:=[49]=>[9]
Connected to: S-0002c900000089ac, Ports:=[50]=>[10]
Connected to: S-0002c900000089ac, Ports:=[51]=>[11]
Connected to: S-0002c900000089ac, Ports:=[52]=>[12]
Connected to: S-0002c900000089ac, Ports:=[53]=>[13]
Connected to: S-0002c900000089ac, Ports:=[54]=>[14]
Connected to: S-0002c900000089ac, Ports:=[55]=>[15]
Connected to: S-0002c900000089ac, Ports:=[56]=>[16]
Connected to: S-0002c900000089b0, Ports:=[57]=>[9]
Connected to: S-0002c900000089b0, Ports:=[58]=>[10]
Connected to: S-0002c900000089b0, Ports:=[59]=>[11]
Connected to: S-0002c900000089b0, Ports:=[60]=>[12]
Connected to: S-0002c900000089b0, Ports:=[61]=>[13]
Connected to: S-0002c900000089b0, Ports:=[62]=>[14]
Connected to: S-0002c900000089b0, Ports:=[63]=>[15]
Connected to: S-0002c900000089b0, Ports:=[64]=>[16]


Switch:
sysimgguid=0x2c900000085a3
Connected to: H-0002c90000007399, Ports:=[1]=>[1]
